----START---
  7500,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7500,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7500,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7500,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7500,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7800,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7800,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7800,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7800,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7800,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8100,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8100,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8100,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8100,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8100,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8400,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8400,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8400,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8400,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8400,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8700,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8700,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8700,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8700,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  8700,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9000,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9000,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9000,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9000,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9000,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9300,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9300,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9300,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9300,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9300,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9600,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9600,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9600,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9600,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9600,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9900,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9900,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9900,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9900,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  9900,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10200,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10200,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10200,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10200,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10200,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10500,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10500,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10500,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10500,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10500,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10800,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10800,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10800,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10800,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 10800,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11100,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11100,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11100,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11100,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11100,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11400,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11400,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11400,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11400,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11400,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11700,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11700,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11700,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11700,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 11700,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12000,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12000,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12000,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12000,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12000,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12300,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12300,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12300,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12300,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12300,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12600,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12600,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12600,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12600,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12600,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12900,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12900,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12900,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12900,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 12900,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13200,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13200,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13200,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13200,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13200,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13500,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13500,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13500,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13500,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13500,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13800,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13800,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13800,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13800,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 13800,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14100,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14100,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14100,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14100,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14100,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14400,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14400,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14400,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14400,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14400,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14700,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14700,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14700,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14700,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 14700,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15000,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15000,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15000,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15000,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15000,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15300,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15300,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15300,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15300,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15300,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15600,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15600,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15600,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15600,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15600,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15900,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
 15900,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
